id,Name,Year,Month,landfall_location,Max_category_at_landfall,Max_central_pressure_mb,Max_windspeed,adj_cost_millions,official_deaths,max_amount_rainfall,avg_forward_speed_knots,max_forward_speed_knots,avg_size_nautical_miles,max_size_nautical_miles,max_surge_ft,storm_tide_max_ft
Alma-1966,Alma,1966,Jun,,2,982,,,,14.28,,,,,,
Inez-1966,Inez,1966,Oct,,1,983,,,,15.36,,,,,,
Betsy-1965,Betsy,1965,Sep,,3,948,,,,12.21,,,,,,15.7
Isbell-1964,Isbell,1964,Oct,,2,974,,,,9.46,,,,,,4.5
Cleo-1964,Cleo,1964,Aug,,2,968,,,,23.54,,,,,,5
Hilda-1964,Hilda,1964,Oct,,3,950,,,,17.71,,,,,,9.8
Dora-1964,Dora,1964,Sep,,2,966,,,,23.73,,,,,,
Cindy-1963,Cindy,1963,Sep,,1,996,,,,23.5,,,,,,6
Carla-1961,Carla,1961,Sep,,4,931,,,,17.46,,,,,,22
Ethel-1960,Ethel,1960,Sep,,1,980,980,,,12.94,,,,,,7
Donna-1960,Donna,1960,Sep,,4,930,125,,,16.23,,,,,,13.5
Debra-1959,Debra,1959,Jul,,1,980,75,,,15.89,,,,,,7.9
Gracie-1959,Gracie,1959,Sep,,4,951,115,,,13.2,,,,,,11.9
Cindy-1959,Cindy,1959,Jul,,1,995,65,,,9.79,,,,,,
Helene-1958,Helene,1958,Sep,,3,938,110,,,8.29,,,,,,7.5
Audrey-1957,Audrey,1957,Jun,,3,946,110,,,10.63,,,,,,13.9
Flossy-1956,Flossy,1956,Sep,,1,974,75,,,16.7,,,,,,
Connie-1955,Connie,1955,Aug,,2,962,85,,,13.24,,,,,,7.8
Ione-1955,Ione,1955,Sep,,2,955,90,,,16.63,,,,,,10.6
Carol-1954,Carol,1954,Aug,,3,955,100,,,,,,,,,15.1
Hazel-1954,Hazel,1954,Oct,,4,938,115,,,11.22,,,,,,17.6
Edna-1954,Edna,1954,Sep,,2,950,95,,,,,,,,,
Barbara-1953,Barbara,1953,Aug,,1,975,80,,,11.1,,,,,,
Florence-1953,Florence,1953,Sep,,1,975,80,,,14.71,,,,,6.5,
Hazel-1953,Hazel,1953,Oct,,1,980,75,,,10.53,,,,,,
